XOM ,CVX,KMI ,WMB,LNG,SP500 ,Date
-0.0149,-0.0076,-0.0155,-0.0208,-0.0108,-0.0034,7/15/19
-0.0059,-0.005,-0.0153,-0.017,-0.0236,-0.0065,7/16/19
-0.0085,0.0043,-0.0083,-0.0058,0.0163,0.0036,7/17/19
0.002,0.0029,0.0039,0.0004,-0.0031,-0.0062,7/18/19
0.0011,0.0022,0.0132,0.0018,0.0042,0.0028,7/19/19
0.004,0.0041,-0.0087,-0.0112,-0.015,0.0068,7/22/19
-0.0001,0.0057,0.0029,-0.015,0.0186,0.0047,7/23/19
-0.0057,-0.0072,-0.0034,-0.0216,-0.0121,-0.0053,7/24/19
-0.0016,-0.0152,0.0131,-0.0452,-0.0028,0.0074,7/25/19
0.0071,0.0041,0.0019,-0.0135,-0.0183,-0.0016,7/26/19
0.0001,0.0009,0.0024,0.0093,-0.0009,-0.0026,7/29/19
-0.0131,-0.0099,-0.0034,-0.0152,-0.0011,-0.0109,7/30/19
-0.0256,-0.0193,0.0073,0.0357,-0.0215,-0.009,7/31/19
-0.0098,-0.0001,-0.027,-0.02,-0.0041,-0.0073,8/1/19
-0.0205,-0.0165,-0.0183,-0.0492,-0.0498,-0.0298,8/2/19
0.0097,0.0054,0.0096,-0.0105,0.0187,0.013,8/5/19
-0.0065,-0.0023,-0.003,0.0038,-0.0075,0.0008,8/6/19
0.0267,0.0347,0.02,0.0174,0.0297,0.0188,8/7/19
-0.0213,-0.0066,0,-0.0017,-0.0075,-0.0066,8/8/19
-0.0049,-0.0071,-0.0015,-0.0121,-0.0175,-0.0123,8/9/19
0.0124,0.0069,0.0084,0.008,-0.0077,0.0151,8/12/19
-0.0403,-0.038,-0.0346,-0.0326,-0.0206,-0.0293,8/13/19
-0.0059,-0.0067,0.004,-0.0082,-0.0082,0.0025,8/14/19
0.0156,0.0004,0.0126,0.0157,0.0159,0.0144,8/15/19
0.0168,0.013,0.0139,0.012,0.0212,0.0121,8/16/19
-0.006,-0.0101,-0.0132,-0.0013,-0.0127,-0.0079,8/19/19
0.01,0.0151,0.0124,0.0149,0.0141,0.0082,8/20/19
-0.0022,-0.0013,-0.0093,-0.0117,-0.0137,-0.0005,8/21/19
-0.0299,-0.0217,-0.0312,-0.0305,-0.0296,-0.0259,8/22/19
0.0053,0.0049,0.0179,0.0022,-0.0012,0.011,8/23/19
-0.0097,0.0008,0.006,-0.0004,-0.0067,-0.0032,8/26/19
0.0073,0.0086,0.011,0.0179,0.0117,0.0065,8/27/19
0.0111,0.0059,0.0069,0.0163,0.0182,0.0127,8/28/19
0.0007,0.0017,-0.0064,-0.0046,-0.0045,0.0006,8/29/19
0.0012,-0.0123,-0.0074,-0.0021,-0.0116,-0.0069,8/30/19
0.0106,0.0084,0.0104,0.0064,0.0234,0.0108,9/3/19
0.0141,0.0033,0.0089,0.0156,0.0243,0.013,9/4/19
0.0094,0.0053,-0.0049,0.0021,0.0019,0.0009,9/5/19
0.0079,0.0096,0,0.0232,0.0074,-0.0001,9/6/19
0.0081,0.0206,-0.0088,0.0069,0.0235,0.0003,9/9/19
-0.0019,-0.0047,0.0109,0.0044,-0.0033,0.0072,9/10/19
0.0007,0.0012,-0.0015,-0.0118,0.0061,0.0029,9/11/19
0.0092,0.0007,0.0024,0.0169,0.0211,-0.0007,9/12/19
0.015,0.0216,0.0098,0.0117,0.0058,-0.0031,9/13/19
-0.0076,-0.0019,0.0034,0.0004,0.0008,0.0026,9/16/19
-0.0048,0.0023,-0.0034,-0.0064,0.0065,0.0003,9/17/19
-0.0067,-0.0042,0.001,-0.0012,-0.0053,0,9/18/19
-0.0035,0.0053,0.0111,-0.004,0.013,-0.0049,9/19/19
0.0007,0.0047,-0.0067,-0.004,-0.0147,-0.0001,9/20/19
-0.0137,-0.0093,-0.0101,-0.013,-0.0132,-0.0084,9/23/19
0.003,-0.0019,-0.0029,0.0045,-0.0108,0.0062,9/24/19
-0.0053,-0.0271,0.0005,-0.0111,-0.0196,-0.0024,9/25/19
0.0072,-0.013,0.0073,0.0029,0.0021,-0.0053,9/26/19
-0.0122,0,-0.0029,-0.0058,-0.0013,0.005,9/27/19
-0.0235,-0.0218,-0.0155,-0.01,-0.001,-0.0123,9/30/19
-0.0261,-0.0321,-0.0059,-0.0189,-0.0221,-0.0179,10/1/19
0.0124,0.0077,0.0104,0.0081,0.0115,0.008,10/2/19
0.0146,0.0062,0.0069,0.0038,0.0053,0.0142,10/3/19
-0.0138,-0.0052,-0.0107,-0.0072,-0.0184,-0.0045,10/4/19
-0.0194,-0.0137,-0.0143,-0.0243,-0.0312,-0.0156,10/7/19
0.0111,0.0128,0.0085,-0.0083,0.0238,0.0091,10/8/19
0.012,0.0128,0.003,0.0009,0.0056,0.0064,10/9/19
0.0107,0.0136,-0.0005,0.0154,0.0215,0.0109,10/10/19
0.0029,0.0003,-0.0044,0.0013,0.0037,-0.0014,10/11/19
0.0035,0.0011,0.002,0.0013,0.0017,0.01,10/14/19
-0.0171,-0.0103,-0.0079,-0.0147,-0.0086,-0.002,10/15/19
-0.0013,0.0021,0.0025,-0.0004,-0.0006,0.0028,10/16/19
-0.0078,-0.0053,-0.0025,0.0048,0.0021,-0.0039,10/17/19
0.0167,0.0163,0.007,0.0057,0.0179,0.0069,10/18/19
0.0051,0.0102,0.0079,0.0074,0.003,-0.0036,10/21/19
0.0096,0.0015,0.0039,0.0108,0.0002,0.0028,10/22/19
-0.0095,-0.0034,0.002,-0.0102,0.0074,0.0019,10/23/19
0.0023,0.0093,-0.001,0.0009,-0.0006,0.0041,10/24/19
-0.0088,-0.0016,-0.0118,-0.0116,-0.0264,0.0056,10/25/19
-0.0029,-0.003,-0.0005,0.0109,-0.0026,-0.0008,10/28/19
-0.0105,-0.015,0.004,-0.0142,-0.0035,0.0033,10/29/19
-0.0022,-0.0019,-0.001,-0.0253,-0.0108,-0.003,10/30/19
0.03,0.0006,0.026,0.026,0.014,0.0097,10/31/19
0.0297,0.0461,0.0029,0.0192,0,0.0037,11/1/19
0.0198,0.003,-0.0019,-0.0163,-0.0059,-0.0012,11/4/19
-0.0219,-0.0167,-0.0151,-0.0309,-0.0161,0.0007,11/5/19
0.0213,0.0166,-0.0084,-0.0049,0.0123,0.0027,11/6/19
-0.019,-0.0079,-0.0005,-0.0018,-0.0008,0.0026,11/7/19
-0.0061,-0.001,-0.0045,-0.0005,-0.0049,-0.002,11/8/19
-0.0138,0.0012,0.0065,-0.0018,0.005,0.0016,11/11/19
-0.0082,0.0109,0.014,0,-0.0078,0.0007,11/12/19
-0.0044,-0.0026,-0.0064,-0.0041,-0.0018,0.0008,11/13/19
0.0101,-0.0011,0.0109,0.0187,0.0044,0.0077,11/14/19
-0.0097,-0.0173,-0.0147,-0.0027,-0.0151,0.0005,11/15/19
-0.0102,-0.0177,-0.0065,-0.0072,-0.0116,-0.0006,11/18/19
0.0031,0.0076,0.0025,0.0108,0.0064,-0.0038,11/19/19
0.0241,0.0122,0.005,0.0183,0.0165,-0.0016,11/20/19
-0.0043,-0.0012,-0.0099,0.0136,-0.0054,0.0022,11/21/19
-0.0066,-0.0021,0,-0.0004,0.0084,0.0075,11/22/19
-0.0025,-0.005,-0.013,-0.0095,-0.0049,0.0022,11/25/19
-0.0006,0.0024,0.0015,-0.007,0.0036,0.0042,11/26/19
-0.0083,-0.008,-0.0061,0.0004,-0.0119,-0.004,11/27/19
0.0043,-0.0028,-0.0107,-0.0075,0.0021,-0.0086,11/29/19
-0.0079,-0.0078,-0.0129,-0.0155,-0.017,-0.0066,12/2/19
0.0113,0.0091,0.0078,-0.0032,-0.0037,0.0063,12/3/19
-0.0035,-0.0052,0.0197,0.0027,-0.0013,0.0015,12/4/19
0.0161,0.0144,0.0036,0.009,0.0184,0.0091,12/5/19
0.0022,-0.006,0.0096,0.0228,-0.0068,-0.0032,12/6/19
-0.0086,0.005,0.009,0.0017,0.0035,-0.0011,12/9/19
-0.0014,-0.0141,0.004,0.0109,-0.011,0.0029,12/10/19
0.02,0.0222,-0.0025,-0.007,-0.0018,0.0086,12/11/19
-0.0158,-0.0072,0.0025,0.0026,0.0257,0.0001,12/12/19
0.0111,0.0119,0.0188,0.0048,0.0038,0.0071,12/13/19
-0.0046,-0.0064,-0.0034,0.0053,0.0049,0.0003,12/16/19
0.0027,-0.0004,0.0102,0.0061,0.0005,-0.0004,12/17/19
-0.0069,-0.0035,0.0058,0.0182,-0.0011,0.0045,12/18/19
0.0079,0.0131,0.0062,0.0128,-0.0044,0.0049,12/19/19
0.005,0.0054,0.011,0.0059,0.0227,0.0009,12/20/19
-0.0038,0.0001,-0.0033,-0.0042,-0.0109,-0.0002,12/23/19
0.0016,0.0022,0.0033,-0.0013,-0.0013,0.0051,12/24/19
-0.0034,-0.0025,-0.0057,-0.0092,-0.0091,0,12/25/19
-0.0059,-0.0037,-0.0024,-0.0165,-0.0046,-0.0058,12/27/19
0.0043,0.0055,0.0067,0.0224,0.0011,0.0029,12/30/19
0.0161,0.0076,-0.0061,-0.0097,0.0205,0.0084,12/31/19
