,,,,,,,,
Date,XOM ,CVX,KMI ,WMB,LNG,SP500 ,,
2019-05-31,1.57%,1.88%,0.95%,1.86%,2.47%,-0.28%,,
2019-06-03,2.38%,1.13%,0.99%,3.05%,2.16%,2.14%,,
2019-06-04,-0.83%,0.30%,0.64%,0.58%,-0.59%,0.82%,,
2019-06-05,1.82%,2.58%,1.91%,0.29%,2.27%,0.61%,,
2019-06-06,0.36%,0.66%,1.29%,0.76%,0.54%,1.05%,,
2019-06-07,0.44%,0.67%,-1.18%,-1.01%,-1.78%,0.47%,,
2019-06-10,-0.09%,-0.92%,-0.48%,0.55%,-0.38%,-0.03%,,
2019-06-11,-1.08%,-0.81%,-1.92%,-1.52%,-1.78%,-0.20%,,
2019-06-12,0.88%,0.60%,0.69%,0.62%,1.17%,0.41%,,
2019-06-13,-0.44%,-0.08%,0.05%,-1.42%,-0.49%,-0.16%,,
2019-06-14,1.00%,0.48%,-0.05%,0.19%,0.46%,0.09%,,
2019-06-17,0.87%,1.27%,1.36%,0.81%,1.07%,0.97%,,
2019-06-18,-0.55%,-0.03%,0.67%,-1.14%,0.77%,0.30%,,
2019-06-19,1.71%,1.13%,0.76%,1.41%,1.93%,0.95%,,
2019-06-20,1.41%,0.52%,1.33%,1.35%,1.03%,-0.13%,,
2019-06-21,-0.95%,-0.02%,-1.03%,-1.99%,-0.89%,-0.17%,,
2019-06-24,-0.88%,-1.02%,-2.74%,-1.33%,-0.88%,-0.95%,,
2019-06-25,0.43%,0.23%,0.29%,2.65%,1.39%,-0.12%,,
2019-06-26,-1.02%,-0.66%,-1.11%,0.15%,-0.61%,0.38%,,
2019-06-27,1.07%,1.08%,2.30%,1.82%,0.34%,0.58%,,
2019-06-28,-0.09%,0.32%,0.00%,0.07%,2.44%,0.77%,,
2019-07-01,-1.10%,-1.53%,0.53%,0.50%,-0.91%,0.29%,,
2019-07-02,0.95%,0.34%,0.43%,0.67%,-0.58%,0.77%,,
2019-07-03,-0.41%,0.15%,0.14%,-0.14%,-0.45%,-0.18%,,
2019-07-05,0.46%,0.05%,-0.24%,0.32%,0.01%,-0.48%,,
2019-07-08,-0.07%,-0.20%,0.85%,1.05%,-0.41%,0.12%,,
2019-07-09,1.41%,1.69%,-0.28%,0.28%,0.25%,0.45%,,
2019-07-10,0.08%,-0.01%,0.42%,-0.38%,0.57%,0.23%,,
2019-07-11,0.08%,0.44%,0.09%,0.49%,0.64%,0.46%,,
2019-07-12,-0.71%,-0.21%,-0.23%,-0.17%,-1.47%,0.02%,,
2019-07-15,-1.49%,-0.76%,-1.55%,-2.08%,-1.08%,-0.34%,,
2019-07-16,-0.59%,-0.50%,-1.53%,-1.70%,-2.36%,-0.65%,,
2019-07-17,-0.85%,0.43%,-0.83%,-0.58%,1.63%,0.36%,,
2019-07-18,0.20%,0.29%,0.39%,0.04%,-0.31%,-0.62%,,
2019-07-19,0.11%,0.22%,1.32%,0.18%,0.42%,0.28%,,
2019-07-22,0.40%,0.41%,-0.87%,-1.12%,-1.50%,0.68%,,
2019-07-23,-0.01%,0.57%,0.29%,-1.50%,1.86%,0.47%,,
2019-07-24,-0.57%,-0.72%,-0.34%,-2.16%,-1.21%,-0.53%,,
2019-07-25,-0.16%,-1.52%,1.31%,-4.52%,-0.28%,0.74%,,
2019-07-26,0.71%,0.41%,0.19%,-1.35%,-1.83%,-0.16%,,
2019-07-29,0.01%,0.09%,0.24%,0.93%,-0.09%,-0.26%,,
2019-07-30,-1.31%,-0.99%,-0.34%,-1.52%,-0.11%,-1.09%,,
2019-07-31,-2.56%,-1.93%,0.73%,3.57%,-2.15%,-0.90%,,
2019-08-01,-0.98%,-0.01%,-2.70%,-2.00%,-0.41%,-0.73%,,
2019-08-02,-2.05%,-1.65%,-1.83%,-4.92%,-4.98%,-2.98%,,
2019-08-05,0.97%,0.54%,0.96%,-1.05%,1.87%,1.30%,,
2019-08-06,-0.65%,-0.23%,-0.30%,0.38%,-0.75%,0.08%,,
2019-08-07,2.67%,3.47%,2.00%,1.74%,2.97%,1.88%,,
2019-08-08,-2.13%,-0.66%,0.00%,-0.17%,-0.75%,-0.66%,,
2019-08-09,-0.49%,-0.71%,-0.15%,-1.21%,-1.75%,-1.23%,,
2019-08-12,1.24%,0.69%,0.84%,0.80%,-0.77%,1.51%,,
2019-08-13,-4.03%,-3.80%,-3.46%,-3.26%,-2.06%,-2.93%,,
2019-08-14,-0.59%,-0.67%,0.40%,-0.82%,-0.82%,0.25%,,
2019-08-15,1.56%,0.04%,1.26%,1.57%,1.59%,1.44%,,
2019-08-16,1.68%,1.30%,1.39%,1.20%,2.12%,1.21%,,
2019-08-19,-0.60%,-1.01%,-1.32%,-0.13%,-1.27%,-0.79%,,
2019-08-20,1.00%,1.51%,1.24%,1.49%,1.41%,0.82%,,
2019-08-21,-0.22%,-0.13%,-0.93%,-1.17%,-1.37%,-0.05%,,
2019-08-22,-2.99%,-2.17%,-3.12%,-3.05%,-2.96%,-2.59%,,
2019-08-23,0.53%,0.49%,1.79%,0.22%,-0.12%,1.10%,,
2019-08-26,-0.97%,0.08%,0.60%,-0.04%,-0.67%,-0.32%,,
2019-08-27,0.73%,0.86%,1.10%,1.79%,1.17%,0.65%,,
2019-08-28,1.11%,0.59%,0.69%,1.63%,1.82%,1.27%,,
2019-08-29,0.07%,0.17%,-0.64%,-0.46%,-0.45%,0.06%,,
2019-08-30,0.12%,-1.23%,-0.74%,-0.21%,-1.16%,-0.69%,,
2019-09-03,1.06%,0.84%,1.04%,0.64%,2.34%,1.08%,,
2019-09-04,1.41%,0.33%,0.89%,1.56%,2.43%,1.30%,,
2019-09-05,0.94%,0.53%,-0.49%,0.21%,0.19%,0.09%,,
2019-09-06,0.79%,0.96%,0.00%,2.32%,0.74%,-0.01%,,
2019-09-09,0.81%,2.06%,-0.88%,0.69%,2.35%,0.03%,,
2019-09-10,-0.19%,-0.47%,1.09%,0.44%,-0.33%,0.72%,,
2019-09-11,0.07%,0.12%,-0.15%,-1.18%,0.61%,0.29%,,
2019-09-12,0.92%,0.07%,0.24%,1.69%,2.11%,-0.07%,,
2019-09-13,1.50%,2.16%,0.98%,1.17%,0.58%,-0.31%,,
2019-09-16,-0.76%,-0.19%,0.34%,0.04%,0.08%,0.26%,,
2019-09-17,-0.48%,0.23%,-0.34%,-0.64%,0.65%,0.03%,,
2019-09-18,-0.67%,-0.42%,0.10%,-0.12%,-0.53%,0.00%,,
2019-09-19,-0.35%,0.53%,1.11%,-0.40%,1.30%,-0.49%,,
2019-09-20,0.07%,0.47%,-0.67%,-0.40%,-1.47%,-0.01%,,
2019-09-23,-1.37%,-0.93%,-1.01%,-1.30%,-1.32%,-0.84%,,
2019-09-24,0.30%,-0.19%,-0.29%,0.45%,-1.08%,0.62%,,
2019-09-25,-0.53%,-2.71%,0.05%,-1.11%,-1.96%,-0.24%,,
2019-09-26,0.72%,-1.30%,0.73%,0.29%,0.21%,-0.53%,,
2019-09-27,-1.22%,0.00%,-0.29%,-0.58%,-0.13%,0.50%,,
2019-09-30,-2.35%,-2.18%,-1.55%,-1.00%,-0.10%,-1.23%,,
2019-10-01,-2.61%,-3.21%,-0.59%,-1.89%,-2.21%,-1.79%,,
2019-10-02,1.24%,0.77%,1.04%,0.81%,1.15%,0.80%,,
2019-10-03,1.46%,0.62%,0.69%,0.38%,0.53%,1.42%,,
2019-10-04,-1.38%,-0.52%,-1.07%,-0.72%,-1.84%,-0.45%,,
2019-10-07,-1.94%,-1.37%,-1.43%,-2.43%,-3.12%,-1.56%,,
2019-10-08,1.11%,1.28%,0.85%,-0.83%,2.38%,0.91%,,
2019-10-09,1.20%,1.28%,0.30%,0.09%,0.56%,0.64%,,
2019-10-10,1.07%,1.36%,-0.05%,1.54%,2.15%,1.09%,,
2019-10-11,0.29%,0.03%,-0.44%,0.13%,0.37%,-0.14%,,
2019-10-14,0.35%,0.11%,0.20%,0.13%,0.17%,1.00%,,
2019-10-15,-1.71%,-1.03%,-0.79%,-1.47%,-0.86%,-0.20%,,
2019-10-16,-0.13%,0.21%,0.25%,-0.04%,-0.06%,0.28%,,
2019-10-17,-0.78%,-0.53%,-0.25%,0.48%,0.21%,-0.39%,,
2019-10-18,1.67%,1.63%,0.70%,0.57%,1.79%,0.69%,,
2019-10-21,0.51%,1.02%,0.79%,0.74%,0.30%,-0.36%,,
2019-10-22,0.96%,0.15%,0.39%,1.08%,0.02%,0.28%,,
2019-10-23,-0.95%,-0.34%,0.20%,-1.02%,0.74%,0.19%,,
2019-10-24,0.23%,0.93%,-0.10%,0.09%,-0.06%,0.41%,,
2019-10-25,-0.88%,-0.16%,-1.18%,-1.16%,-2.64%,0.56%,,
2019-10-28,-0.29%,-0.30%,-0.05%,1.09%,-0.26%,-0.08%,,
2019-10-29,-1.05%,-1.50%,0.40%,-1.42%,-0.35%,0.33%,,
2019-10-30,-0.22%,-0.19%,-0.10%,-2.53%,-1.08%,-0.30%,,
2019-10-31,3.00%,0.06%,2.60%,2.60%,1.40%,0.97%,,
2019-11-01,2.97%,4.61%,0.29%,1.92%,0.00%,0.37%,,
2019-11-04,1.98%,0.30%,-0.19%,-1.63%,-0.59%,-0.12%,,
2019-11-05,-2.19%,-1.67%,-1.51%,-3.09%,-1.61%,0.07%,,
2019-11-06,2.13%,1.66%,-0.84%,-0.49%,1.23%,0.27%,,
2019-11-07,-1.90%,-0.79%,-0.05%,-0.18%,-0.08%,0.26%,,
2019-11-08,-0.61%,-0.10%,-0.45%,-0.05%,-0.49%,-0.20%,,
2019-11-11,-1.38%,0.12%,0.65%,-0.18%,0.50%,0.16%,,
2019-11-12,-0.82%,1.09%,1.40%,0.00%,-0.78%,0.07%,,
2019-11-13,-0.44%,-0.26%,-0.64%,-0.41%,-0.18%,0.08%,,
2019-11-14,1.01%,-0.11%,1.09%,1.87%,0.44%,0.77%,,
2019-11-15,-0.97%,-1.73%,-1.47%,-0.27%,-1.51%,0.05%,,
2019-11-18,-1.02%,-1.77%,-0.65%,-0.72%,-1.16%,-0.06%,,
2019-11-19,0.31%,0.76%,0.25%,1.08%,0.64%,-0.38%,,
2019-11-20,2.41%,1.22%,0.50%,1.83%,1.65%,-0.16%,,
2019-11-21,-0.43%,-0.12%,-0.99%,1.36%,-0.54%,0.22%,,
2019-11-22,-0.66%,-0.21%,0.00%,-0.04%,0.84%,0.75%,,
2019-11-25,-0.25%,-0.50%,-1.30%,-0.95%,-0.49%,0.22%,,
2019-11-26,-0.06%,0.24%,0.15%,-0.70%,0.36%,0.42%,,
2019-11-27,-0.83%,-0.80%,-0.61%,0.04%,-1.19%,-0.40%,,
2019-11-29,0.43%,-0.28%,-1.07%,-0.75%,0.21%,-0.86%,,
2019-12-02,-0.79%,-0.78%,-1.29%,-1.55%,-1.70%,-0.66%,,
2019-12-03,1.13%,0.91%,0.78%,-0.32%,-0.37%,0.63%,,
2019-12-04,-0.35%,-0.52%,1.97%,0.27%,-0.13%,0.15%,,
2019-12-05,1.61%,1.44%,0.36%,0.90%,1.84%,0.91%,,
2019-12-06,0.22%,-0.60%,0.96%,2.28%,-0.68%,-0.32%,,
2019-12-09,-0.86%,0.50%,0.90%,0.17%,0.35%,-0.11%,,
2019-12-10,-0.14%,-1.41%,0.40%,1.09%,-1.10%,0.29%,,
2019-12-11,2.00%,2.22%,-0.25%,-0.70%,-0.18%,0.86%,,
2019-12-12,-1.58%,-0.72%,0.25%,0.26%,2.57%,0.01%,,
2019-12-13,1.11%,1.19%,1.88%,0.48%,0.38%,0.71%,,
2019-12-16,-0.46%,-0.64%,-0.34%,0.53%,0.49%,0.03%,,
2019-12-17,0.27%,-0.04%,1.02%,0.61%,0.05%,-0.04%,,
2019-12-18,-0.69%,-0.35%,0.58%,1.82%,-0.11%,0.45%,,
2019-12-19,0.79%,1.31%,0.62%,1.28%,-0.44%,0.49%,,
2019-12-20,0.50%,0.54%,1.10%,0.59%,2.27%,0.09%,,
2019-12-23,-0.38%,0.01%,-0.33%,-0.42%,-1.09%,-0.02%,,
2019-12-24,0.16%,0.22%,0.33%,-0.13%,-0.13%,0.51%,,
2019-12-26,-0.34%,-0.25%,-0.57%,-0.92%,-0.91%,0.00%,,
2019-12-27,-0.59%,-0.37%,-0.24%,-1.65%,-0.46%,-0.58%,,
2019-12-30,0.43%,0.55%,0.67%,2.24%,0.11%,0.29%,,
2019-12-31,1.61%,0.76%,-0.61%,-0.97%,2.05%,0.84%,,
2020-01-02,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,,
